Counterparty,Instrument,USDSpots,USDFwdsSwapsTotal,USDSpotRank,USDFwdsSwapsRank
DEBK,USDJPY,11160000.0,0.0,14.0,0
DEBK,USDKRW,0.0,3615614.0,0,11.0
DEBK,USDMXN,0.0,45540000.0,0,3.0
DEBK,USDSGD,1600000.0,0.0,12.0,0
DEBK,USDTWD,0.0,31993640.0,0,5.0
DEBK,USDZAR,1340000.0,0.0,10.0,0
EDGEW,AUDUSD,53906410.0,0.0,12.0,0
EDGEW,EURCZK,1535821.0,0.0,8.0,0
EDGEW,EURGBP,5420441.0,0.0,7.0,0
EDGEW,EURHUF,8934789.0,0.0,8.0,0
EDGEW,EURNOK,26222222.0,0.0,7.0,0
EDGEW,EURPLN,7249220.0,0.0,7.0,0
EDGEW,EURSEK,60658713.0,0.0,4.0,0
EDGEW,EURUSD,39416336.0,0.0,12.0,0
EDGEW,GBPUSD,65639351.0,0.0,10.0,0
EDGEW,NZDUSD,39574187.0,0.0,7.0,0
EDGEW,USDCAD,22550000.0,0.0,11.0,0
EDGEW,USDCHF,43740000.0,0.0,10.0,0
EDGEW,USDCNH,2280000.0,0.0,8.0,0
EDGEW,USDILS,6000000.0,0.0,4.0,0
EDGEW,USDJPY,99340000.0,0.0,8.0,0
EDGEW,USDMXN,12200000.0,0.0,6.0,0
EDGEW,USDSGD,23690000.0,0.0,4.0,0
EDGEW,USDZAR,37660000.0,0.0,2.0,0
GDML,AUDUSD,169055918.0,618027736.0,7.0,1.0
GDML,EURCZK,9386212.0,66065.0,5.0,8.0
GDML,EURGBP,10787700.0,1815612.0,5.0,2.0
GDML,EURHUF,16724505.0,1236459.0,5.0,3.0
GDML,EURNOK,41915197.0,17133572.0,3.0,1.0
GDML,EURPLN,1517717.0,1674206.0,9.0,3.0
GDML,EURSEK,46829156.0,23996599.0,7.0,2.0
GDML,EURUSD,201349360.0,506323802.0,6.0,1.0
GDML,GBPUSD,238961537.0,814365992.0,6.0,1.0
GDML,NZDUSD,143823309.0,329233364.0,2.0,1.0
GDML,USDBRL,0.0,42535816.0,0,4.0
GDML,USDCAD,255770000.0,0.0,2.0,0
GDML,USDCHF,258240000.0,1699210.0,2.0,11.0
GDML,USDCNH,6850000.0,9992.0,6.0,12.0
GDML,USDCOP,0.0,1000000.0,0,8.0
GDML,USDCZK,0.0,48260.0,0,9.0
GDML,USDHUF,0.0,120742.0,0,6.0
GDML,USDIDR,0.0,3040000.0,0,6.0
GDML,USDILS,0.0,119603.0,0,9.0
GDML,USDINR,0.0,76880000.0,0,4.0
